eventid,date,country_txt,region_txt,city,latitude,longitude,attacktype1_txt,attacktype2_txt,targtype1_txt,targtype2_txt,targtype3_txt,targsubtype1_txt,targsubtype2_txt,targsubtype3_txt,gname,gsubname,gname2,gsubname2,success,suicide,extended,motive,target1,weaptype1_txt,nkill,nwound,summary
5fe71e1a-6079-4c20-988c-cfbe9bdd4cb0,1970-07-02,Dominican Republic,Central America & Caribbean,Santo Domingo,18.456792,-69.951164,Assassination,,Private Citizens & Property,,,Named Civilian,,,MANO-D,,,,True,False,False,,Julio Guzman,Unknown,1,0,
3f86f546-1894-4054-afb9-010c8bf2ad15,,Mexico,North America,Mexico city,19.371887,-99.086624,Hostage Taking (Kidnapping),,Government (Diplomatic),,,"Diplomatic Personnel (outside of embassy, consulate)",,,23rd of September Communist League,,,,True,False,False,,"Nadine Chaval, daughter",Unknown,0,0,
ee3bb54f-a3e5-495f-8348-6c5a48987c76,,Philippines,Southeast Asia,Unknown,15.478598,120.599741,Assassination,,Journalists & Media,,,Radio Journalist/Staff/Facility,,,Unknown,,,,True,False,False,,Employee,Unknown,1,0,
e7b63c05-ab2b-4772-972b-77ca6ed65e47,,Greece,Western Europe,Athens,37.99749,23.762728,Bombing/Explosion,,Government (Diplomatic),,,Embassy/Consulate,,,Unknown,,,,True,False,False,,U.S. Embassy,Explosives,0,0,
aeeb43a7-391b-4b86-82f0-fa5074f8cdf3,,Japan,East Asia,Fukouka,33.580412,130.396361,Facility/Infrastructure Attack,,Government (Diplomatic),,,Embassy/Consulate,,,Unknown,,,,True,False,False,,U.S. Consulate,Incendiary,0,0,
1a16209a-620a-4c6b-a1ae-6a9a0eede7b0,1970-01-01,United States,North America,Cairo,37.005105,-89.176269,Armed Assault,,Police,,,"Police Building (headquarters, station, school)",,,Black Nationalists,,,,True,False,False,To protest the Cairo Illinois Police Deparment,Cairo Police Headquarters,Firearms,0,0,"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois."
86b9aca1-9ad7-4535-85c1-d36d5ac6cc0f,1970-01-02,Uruguay,South America,Montevideo,-34.891151,-56.187214,Assassination,,Police,,,Police Security Forces/Officers,,,Tupamaros (Uruguay),,,,False,False,False,,Juan Maria de Lucah/Chief of Directorate of info. and intell.,Firearms,0,0,
a4559561-b9d6-4b66-8396-acbbbb94e321,1970-01-02,United States,North America,Oakland,37.791927,-122.225906,Bombing/Explosion,,Utilities,,,Electricity,,,Unknown,,,,True,False,False,,Edes Substation,Explosives,0,0,"1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States.  Three transformers were damaged costing an estimated $20,000 to $25,000.  There were no casualties."
0ae7f118-e56f-45f4-bba5-716aeef29f3f,1970-01-02,United States,North America,Madison,43.076592,-89.412488,Facility/Infrastructure Attack,,Military,,,Military Recruiting Station/Academy,,,New Year's Gang,,,,True,False,False,To protest the War in Vietnam and the draft,"R.O.T.C. offices at University of Wisconsin, Madison",Incendiary,0,0,"1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States.  There were no casualties but the fire caused around $60,000 in damages to the building."
d97a3aac-7c7b-4e3f-a4b1-cd2cf375da57,1970-01-03,United States,North America,Madison,43.07295,-89.386694,Facility/Infrastructure Attack,,Government (General),,,Government Building/Facility/Office,,,New Year's Gang,,,,True,False,False,To protest the War in Vietnam and the draft,Selective Service Headquarters in Madison Wisconsin,Incendiary,0,0,"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately."
4d88e432-8d70-4676-b09b-6ee60f7eb737,1970-01-01,United States,North America,Baraboo,43.4685,-89.744299,Bombing/Explosion,,Military,,,Military Barracks/Base/Headquarters/Checkpost,,,"Weather Underground, Weathermen",,,,False,False,False,,Badger Army ammo depot.,Explosives,0,0,
3f7246bd-c359-4027-b38f-f2fb8310d5b1,1970-01-06,United States,North America,Denver,39.758968,-104.876305,Facility/Infrastructure Attack,,Military,,,Military Recruiting Station/Academy,,,Left-Wing Militants,,,,True,False,False,Protest the draft and Vietnam War,"Army Recruiting Station, Denver Colorado",Incendiary,0,0,"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305."
f0da105f-73e6-4c56-bf76-2de2fe819f84,1970-01-08,Italy,Western Europe,Rome,41.890961,12.490069,Hijacking,,Airports & Aircraft,,,Aircraft (not at an airport),,,Unknown,,,,True,False,False,,Flight 802 Boeing 707,Firearms,0,0,
5d08b5e9-86a8-4248-a2bf-36edab0af6f8,1970-01-09,United States,North America,Detroit,42.331685,-83.047924,Facility/Infrastructure Attack,,Government (General),,,Government Building/Facility/Office,,,Left-Wing Militants,,,,True,False,False,,Packard Properties building of Detroit Michigan,Incendiary,0,0,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties."
40e3b5b4-73d8-4527-979a-12728d6ce79f,1970-01-09,United States,North America,Rio Piedras,18.386932,-66.061127,Facility/Infrastructure Attack,,Business,,,Retail/Grocery/Bakery,,,Armed Commandos of Liberation,,,,True,False,False,To protest United States owned businesses in Puerto Rico,Baker's Store,Incendiary,0,0,"1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico.  There were no casualties but the store was destroyed at a cost of $2,000,000."
fc5b952c-400f-4b54-a59f-e66afafdd382,1970-01-10,East Germany (GDR),Eastern Europe,Berlin,52.50153,13.401851,Bombing/Explosion,,Government (General),,,,,,Commune 1,,,,True,False,False,,Jurists Ball (Palais au Frankturm),Explosives,0,0,
